RPTG_SLS_MGMT_LVL_1,DELL_INDUSTRY_TAXONOMY_L1,ORG_USER_DEFINED_VALUE_113,emp_size,buy_power,decision_maker,clutser
NAMERICA,"Banking, Financial Services & Insurance",T1,2245.319543,39739358.32,1,0
EMEA,"Business, Engineering & Consumer Services",T1,1.036141921,52261237.05,1,0
EMEA,"Business, Engineering & Consumer Services",T1,103348.9398,51807096.05,0,0
APJ,Manufacturing,T2,2526.114003,46719501.5,1,0
EMEA,Energy,T1,77192.57311,38783038.98,0,0
NAMERICA,Web & Tech,T1,66105.85455,101259352.3,0,0
NAMERICA,Retail,T1,120889.3719,78550623.6,1,0
EMEA,"Banking, Financial Services & Insurance",T1,40748.56055,99743020.81,1,0
NAMERICA,Healthcare & Life Sciences,T1,23596.37081,49735951.23,1,0
EMEA,Manufacturing,T1,246208.9758,54581894.47,0,0
NAMERICA,"Business, Engineering & Consumer Services",T1,35231.00121,41972430.67,1,0
EMEA,Government,T2,1.139756113,207085440.8,0,0
NAMERICA,Retail,T1,59166.44656,70487102.4,1,0
APJ,"Banking, Financial Services & Insurance",T1,29903.6192,44996015.02,0,0
NAMERICA,"Banking, Financial Services & Insurance",T1,31398.80016,136701992.2,1,0
EMEA,Manufacturing,T1,301693.3422,56282883.28,0,0
NAMERICA,Healthcare & Life Sciences,T1,1.0679864,35751165.14,1,0
APJ,"Business, Engineering & Consumer Services",T1,3909.89821,48222073.3,1,0
NAMERICA,"Banking, Financial Services & Insurance",T1,7.550663848,80848193.82,1,0
EMEA,"Banking, Financial Services & Insurance",T1,96137.20945,97949584.5,1,0
NAMERICA,Manufacturing,T1,29555.45563,58247978.26,1,0
EMEA,Web & Tech,T2,24679.88412,45088249.84,0,0
EMEA,"Telecom, Media & Entertainment",T2,10678.79601,86658429.65,1,0
NAMERICA,Government,T1,118653.289,128406826.7,0,0
EMEA,Retail,T1,39255.25415,57653039.88,1,0
NAMERICA,Manufacturing,T1,78311.17077,41230798.48,0,0
EMEA,Manufacturing,T1,256313.6485,56821992.24,0,0
NAMERICA,Retail,T1,11.8653289,69792101.92,1,0
EMEA,"Business, Engineering & Consumer Services",T1,61343.75043,50803778.77,1,0
NAMERICA,"Telecom, Media & Entertainment",T1,3417.214724,77278531.19,1,0
NAMERICA,"Banking, Financial Services & Insurance",T2,29688.07178,37777233.81,1,0
NAMERICA,"Business, Engineering & Consumer Services",T1,5.334592068,143022566.7,1,0
EMEA,Education,T3,21.33836827,81233819.02,0,0
APJ,"Telecom, Media & Entertainment",T1,640.1510482,101029552.3,0,0
NAMERICA,Energy,T1,73.61737054,92516549.93,0,0
APJ,"Banking, Financial Services & Insurance",T1,151053.2421,39124198.03,1,0
Greater China,Manufacturing,T1,213.3836827,70415981.95,1,0
Greater China,Manufacturing,T1,40948.32871,100433116.3,1,0
EMEA,"Telecom, Media & Entertainment",T1,59267.31788,43103503.91,1,0
APJ,"Banking, Financial Services & Insurance",T2,32597.02483,66627743.31,0,0
NAMERICA,"Business, Engineering & Consumer Services",T1,19384.7233,46422926.72,0,0
NAMERICA,"Banking, Financial Services & Insurance",T2,32983.44774,41970506.76,1,0
NAMERICA,Retail,T1,168307.3293,62815652.2,1,0
NAMERICA,Energy,T1,37954.79037,54350593.64,1,0
NAMERICA,"Business, Engineering & Consumer Services",T1,65453.64052,101065843.5,0,0
APJ,"Telecom, Media & Entertainment",T1,16743.0173,77726224.78,0,0
NAMERICA,"Banking, Financial Services & Insurance",T1,62620,268929900,0,0
NAMERICA,"Banking, Financial Services & Insurance",T1,9800,335311018,1,0
NAMERICA,"Banking, Financial Services & Insurance",T1,4343.85,247775578.9,0,0
Greater China,Retail,T1,6756.015,488330113,1,0
NAMERICA,Web & Tech,T1,24675,519718803,1,0
NAMERICA,Healthcare & Life Sciences,T1,227010,354225593.7,1,0
Greater China,Retail,T1,6521.58128,471385058.1,1,0
APJ,"Telecom, Media & Entertainment",T1,35105.4205,271450697.8,1,0
NAMERICA,"Telecom, Media & Entertainment",T1,128.4079823,441121829.8,1,0
NAMERICA,Healthcare & Life Sciences,T1,49952.87086,283792444.6,1,0
NAMERICA,Government,T1,1021.371188,225810059.5,1,0
NAMERICA,"Telecom, Media & Entertainment",T1,34215.69979,247307417.3,0,0
EMEA,"Business, Engineering & Consumer Services",T1,139024.6985,358397610,0,0
NAMERICA,Government,T1,1008.093363,222874528.7,1,0
NAMERICA,"Banking, Financial Services & Insurance",T1,989.794944,533795841.8,0,0
NAMERICA,"Telecom, Media & Entertainment",T1,16283.59222,209812111.1,1,0
Greater China,Retail,T1,6723.987685,486015153.3,1,0
NAMERICA,"Telecom, Media & Entertainment",T1,9.823210642,642064792.2,1,0
NAMERICA,"Banking, Financial Services & Insurance",T1,4635,264382934.1,0,0
NAMERICA,Web & Tech,T1,914.949,276360397.9,1,0
NAMERICA,"Telecom, Media & Entertainment",T1,34389.5171,248563750.1,0,0
NAMERICA,Web & Tech,T1,24533.34083,516735097.4,1,0
NAMERICA,Healthcare & Life Sciences,T1,48078.47868,273143640.5,1,0
NAMERICA,"Telecom, Media & Entertainment",T1,16666.47944,214745566.5,1,0
NAMERICA,"Banking, Financial Services & Insurance",T1,201.492102,349064218.4,1,0
NAMERICA,Transportation,T1,164352.7755,466892550.2,1,0
NAMERICA,Web & Tech,T1,26790.3,564272447.8,1,0
NAMERICA,Web & Tech,T1,100731.528,253972044,0,0
NAMERICA,Healthcare & Life Sciences,T1,52501.48672,298271651,1,0
NAMERICA,Web & Tech,T1,964.4508,291312419.4,1,0
NAMERICA,"Telecom, Media & Entertainment",T1,35778.85359,258605725.7,0,0
EMEA,"Business, Engineering & Consumer Services",T1,143195.4395,369149538.3,0,0
NAMERICA,"Banking, Financial Services & Insurance",T1,4613.02749,263129610.1,0,0
NAMERICA,"Banking, Financial Services & Insurance",T1,205.4397353,355903084.6,1,0
EMEA,"Business, Engineering & Consumer Services",T1,144067.6959,371398164.9,0,0
NAMERICA,Government,T1,1044.661054,230959104.3,1,0
NAMERICA,Transportation,T1,2327118.601,402066540.9,1,0
NAMERICA,"Banking, Financial Services & Insurance",T1,63358.33339,272100770.7,0,0
EMEA,"Business, Engineering & Consumer Services",T1,141906.6805,365827192.4,0,0
LA,Education,T1,480.7192807,1339066.933,0,0
CSB,Manufacturing,T5,39.95104895,7403078.38,1,0
Greater China,Manufacturing,T1,113.4865135,1461995.727,0,0
NAMERICA,Healthcare & Life Sciences,T4,116.3536464,227607.7533,1,0
CSB,Education,T5,15.47452547,139994.974,1,0
CSB,Agriculture,T5,165.1648352,95226.24376,0,0
CSB,Manufacturing,T3,372.0879121,5151310.335,0,0
APJ,"Business, Engineering & Consumer Services",T1,11.86813187,2235089.91,0,0
NAMERICA,Education,T2,2910.689311,2541680.536,1,0
NAMERICA,Energy,T1,317.2267732,608048.3496,1,0
NAMERICA,"Business, Engineering & Consumer Services",T3,1261.688312,652126.4675,0,0
NAMERICA,Agriculture,T2,86.71328671,414385.6144,0,0
NAMERICA,Retail,T2,2257.342657,2052926.369,1,0
Greater China,Agriculture,T5,315.0849151,123440.4136,1,0
NAMERICA,Retail,T2,1897.386613,217760.7727,1,0
EMEA,Manufacturing,T1,43091.45055,270522.007,1,0
Greater China,"Telecom, Media & Entertainment",T1,7909.190809,1087690.555,0,0
NAMERICA,Retail,T5,84.13186813,111679.1209,1,0
APJ,Web & Tech,T1,24.42557443,7079020.979,1,0
APJ,Web & Tech,T5,164886.0869,106730.2877,0,0
LA,"Business, Engineering & Consumer Services",T1,9717.374625,2124675.325,0,0
NAMERICA,Transportation,T4,299.4505495,401306.967,1,0
NAMERICA,Education,T4,380.4195804,449001.6623,1,0
EMEA,Agriculture,T5,85.71428571,223479.1129,0,0
NAMERICA,Manufacturing,T5,80.85914086,246446.7772,1,0
LA,"Business, Engineering & Consumer Services",T3,172.8671329,265616.1838,0,0
Greater China,Manufacturing,T1,2234.694306,440769.2308,1,0
EMEA,Construction & Real Estate,T2,10600.57942,6225774.226,0,0
EMEA,Agriculture,T3,365.5744256,295408.0105,1,0
APJ,Manufacturing,T1,1240.759241,846187.013,1,0
CSB,Manufacturing,T5,1969.508492,65976.16783,1,0
CSB,Agriculture,T5,79.57042957,309985.2747,1,0
EMEA,"Business, Engineering & Consumer Services",T1,7076.593407,799147.5224,0,0
APJ,"Banking, Financial Services & Insurance",T5,140.3836164,52279.70672,1,0
EMEA,Energy,T1,381.5184815,914593.1046,1,0
LA,Healthcare & Life Sciences,T1,1719.89011,967756.2438,0,0
EMEA,Education,T3,3583.636364,120661.1389,1,0
CSB,Manufacturing,T5,1.243756244,19922.43956,0,0
EMEA,"Business, Engineering & Consumer Services",T1,3.533466533,57542.50849,0,0
EMEA,Education,T3,200,760813.0767,1,0
EMEA,Manufacturing,T1,26.79320679,941171.2288,1,0
NAMERICA,Government,T1,4.795204795,6064339.261,1,0
EMEA,Agriculture,T2,114.7932068,4213286.713,1,0
NAMERICA,"Business, Engineering & Consumer Services",T4,247.5524476,402092.2216,0,0
CSB,Agriculture,T5,14.84515485,346155.3287,1,0
EMEA,Manufacturing,T3,1921.783217,570340.1008,0,0
CSB,Agriculture,T5,1.418581419,335114.8571,0,0
EMEA,"Banking, Financial Services & Insurance",T1,657.5484515,3821883.117,0,0
NAMERICA,Healthcare & Life Sciences,T5,1.035964036,181093.9451,0,0
NAMERICA,"Business, Engineering & Consumer Services",T5,43.17382617,30675.25541,1,0
NAMERICA,"Banking, Financial Services & Insurance",T4,15.32867133,313516.8831,1,0
Greater China,Healthcare & Life Sciences,T1,4989.61039,237940.6793,0,0
Greater China,Manufacturing,T1,2381.118881,205841.4426,0,0
LA,"Business, Engineering & Consumer Services",T2,115.2447552,1421320.18,0,0
NAMERICA,Manufacturing,T2,565.5344655,321990.6265,1,0
EMEA,Agriculture,T2,22.67532468,15753402.07,1,0
NAMERICA,"Banking, Financial Services & Insurance",T5,42.13786214,74153.55083,1,0
Greater China,Healthcare & Life Sciences,T2,953.5464535,334841.9341,0,0
EMEA,Manufacturing,T3,8.975024975,114142.924,1,0
NAMERICA,Healthcare & Life Sciences,T5,128.3716284,264071.905,1,0
CSB,Web & Tech,T5,5.922077922,53110.15385,0,0
CSB,"Business, Engineering & Consumer Services",T5,53.98601399,89215.38961,1,0
NAMERICA,Manufacturing,T5,354.8451548,252075.6006,1,0
NAMERICA,Government,T1,192.1798202,288187.013,1,0
NAMERICA,Web & Tech,T4,7.968031968,190802.0979,0,0
APJ,Construction & Real Estate,T1,12.40659341,4090909.091,0,0
EMEA,Agriculture,T1,2991.008991,1028472.686,1,0
NAMERICA,"Business, Engineering & Consumer Services",T3,203.7962038,125444.1021,0,0
NAMERICA,Education,T1,1961.004995,1436389.211,1,0
CSB,"Business, Engineering & Consumer Services",T5,7.972027972,89578.2967,1,0
Greater China,Web & Tech,T1,8881.825175,2751917.882,0,0
EMEA,Manufacturing,T5,427.8601399,8697405.42,1,0
Greater China,Healthcare & Life Sciences,T1,501.0989011,251933.4126,1,0
NAMERICA,"Business, Engineering & Consumer Services",T1,1677.922078,3656927.021,1,0
CSB,Retail,T5,27.31268731,299988.7772,0,0
Greater China,Web & Tech,T5,445.3546454,3877114.28,1,0
EMEA,Manufacturing,T1,1206.433566,189014.3616,0,0
NAMERICA,Manufacturing,T2,7518.881119,57042.65734,1,0
EMEA,Manufacturing,T1,15062.96104,260114.9351,0,0
EMEA,"Business, Engineering & Consumer Services",T2,3419.594406,39950.24176,0,0
NAMERICA,Retail,T1,18584.41558,4371428.571,0,0
CSB,Healthcare & Life Sciences,T5,8371.048951,127359.7033,0,0
NAMERICA,"Telecom, Media & Entertainment",T4,243.1168831,205424.5175,1,0
EMEA,Web & Tech,T5,3.258741259,183485.8741,0,0
LA,Manufacturing,T3,316.6833167,105526.2735,0,0
APJ,Manufacturing,T1,5653.906094,15241310.22,0,0
EMEA,"Business, Engineering & Consumer Services",T2,6861.538462,13584855.94,1,0
EMEA,Healthcare & Life Sciences,T1,1667.332667,171058.5195,1,0
Greater China,"Telecom, Media & Entertainment",T1,520.7592408,2578362.325,0,0
CSB,Agriculture,T5,20.05494505,146903.8442,0,0
NAMERICA,Education,T1,707.2927073,1425956.686,0,0
EMEA,Construction & Real Estate,T5,1.113886114,7893181.978,0,0
EMEA,Agriculture,T3,90.90909091,559535.1648,0,0
CSB,Healthcare & Life Sciences,T5,2.589410589,9537047.013,0,0
APJ,Manufacturing,T5,3.396603397,14924781.26,0,0
CSB,"Business, Engineering & Consumer Services",T5,60.49150849,281994.4056,1,0
NAMERICA,"Business, Engineering & Consumer Services",T2,2434.957043,56856.73323,0,0
CSB,Manufacturing,T5,10.96903097,7425180.515,1,0
NAMERICA,Healthcare & Life Sciences,T1,8663.834166,12432618.55,0,0
CSB,Retail,T5,17.14285714,53225.8002,1,0
CSB,Construction & Real Estate,T5,7.087912088,74353.45455,0,0
EMEA,"Telecom, Media & Entertainment",T1,5763.636364,198577.4146,0,0
NAMERICA,Manufacturing,T5,57.07092907,60779.53493,0,0
APJ,"Business, Engineering & Consumer Services",T2,37816.34266,10086396.87,0,0
APJ,Web & Tech,T2,717.962038,315207.9046,1,0
APJ,Manufacturing,T1,7170.32967,541495.7682,0,0
Greater China,Web & Tech,T1,2670.591409,1588636.771,0,0
Greater China,Healthcare & Life Sciences,T1,5169.83017,58513.35165,1,0
NAMERICA,Agriculture,T5,4998.928072,224509.5884,1,0
NAMERICA,Retail,T5,1768.231768,95784.21578,0,0
CSB,Agriculture,T5,48,105081.7782,1,0
APJ,Healthcare & Life Sciences,T1,1428.571429,566081.9181,0,0
EMEA,"Business, Engineering & Consumer Services",T5,555.1118881,340431.0629,0,0
EMEA,Construction & Real Estate,T1,4019.330669,183563.4805,1,0
NAMERICA,Government,T1,14309.79021,6240859.141,1,0
LA,Web & Tech,T1,748.2517483,12380360.44,0,0
EMEA,"Banking, Financial Services & Insurance",T2,195.4645355,1461038.961,0,0
NAMERICA,"Banking, Financial Services & Insurance",T1,400.5994006,16742309.79,1,0
NAMERICA,Education,T2,2165.034965,995804.2083,1,0
NAMERICA,Government,T1,3.656343656,1190650.894,1,0
EMEA,"Telecom, Media & Entertainment",T1,678.5544456,18161138.86,1,0
Greater China,Web & Tech,T3,283.1168831,98858.37662,0,0
EMEA,Retail,T1,599.1008991,1834872.527,0,0
APJ,Agriculture,T5,1108.054945,2351014.364,0,0
NAMERICA,"Banking, Financial Services & Insurance",T3,457.5684316,547435.2664,0,0
Greater China,Manufacturing,T1,441.5584416,1350370.529,0,0
EMEA,"Telecom, Media & Entertainment",T1,2348.811189,101662.4176,1,0
NAMERICA,Energy,T1,10442.75724,8782911.705,1,0
CSB,Agriculture,T5,21.36863137,46539.01598,0,0
EMEA,"Banking, Financial Services & Insurance",T1,617.3826174,12287923.87,0,0
NAMERICA,Government,T3,2851.198801,499576.7233,1,0
EMEA,"Business, Engineering & Consumer Services",T1,142.4525475,209693.6623,0,0
APJ,"Business, Engineering & Consumer Services",T1,1128.825175,3986721.656,1,0
NAMERICA,Retail,T5,196.003996,129755.2448,1,0
NAMERICA,Agriculture,T5,1806.857143,225582.1678,1,0
CSB,Agriculture,T5,2.759240759,285420.6953,0,0
APJ,Retail,T5,162.5374625,2602923.502,1,0
NAMERICA,Government,T4,234.3956044,232180.2637,0,0
NAMERICA,Healthcare & Life Sciences,T5,49.02097902,71595.53251,1,0
NAMERICA,Agriculture,T5,6.14985015,16044.82907,0,0
APJ,Web & Tech,T5,35.98901099,966423.5325,1,0
LA,"Telecom, Media & Entertainment",T3,762.9370629,149160.8392,1,0
APJ,Manufacturing,T1,15246.58741,8511688.312,0,0
NAMERICA,"Banking, Financial Services & Insurance",T1,1424.575425,1080970.03,0,0
NAMERICA,Healthcare & Life Sciences,T3,127.2727273,464943.8611,0,0
EMEA,Transportation,T3,39.88011988,279158.5104,1,0
APJ,Retail,T3,139.4605395,83412.58741,1,0
APJ,Education,T1,191.4335664,192985.999,0,0
NAMERICA,Healthcare & Life Sciences,T5,19.66033966,221741.011,1,0
NAMERICA,"Business, Engineering & Consumer Services",T1,987.6623377,1677491.608,1,0
EMEA,Education,T2,1.087912088,1343636.364,1,0
NAMERICA,Web & Tech,T1,3.932067932,1862079.72,0,0
NAMERICA,Construction & Real Estate,T5,47.53646354,127700.993,1,0
APJ,"Telecom, Media & Entertainment",T1,3506.493506,1986924.945,0,0
CSB,Construction & Real Estate,T3,5224.126873,55345.45455,0,0
APJ,Education,T1,32358.37562,5541458.541,1,0
Greater China,Web & Tech,T1,350.2497502,8579922.129,0,0
NAMERICA,Agriculture,T5,126.7502498,30157.49611,0,0
APJ,"Business, Engineering & Consumer Services",T3,160.1398601,260959.3033,0,0
NAMERICA,"Banking, Financial Services & Insurance",T2,597.4075924,143762.4815,1,0
CSB,Construction & Real Estate,T5,4.75024975,233562.1538,0,0
Greater China,Education,T2,138.0619381,50118.58142,0,0
EMEA,"Telecom, Media & Entertainment",T1,2850.266733,13383299.04,0,0
Greater China,Education,T2,2814.725275,273706.3636,0,0
CSB,Agriculture,T5,105.6623377,275784.1399,1,0
APJ,"Business, Engineering & Consumer Services",T1,23316.68332,4785514.717,1,0
EMEA,Manufacturing,T3,11.76223776,1282407.273,1,0
NAMERICA,Government,T5,109.986014,29949.29318,1,0
EMEA,Agriculture,T3,103.2967033,218269.031,1,0
APJ,Manufacturing,T5,880.6193806,182302.1698,1,0
EMEA,Government,T1,45948.05195,205030.05,1,0
EMEA,Government,T1,1853.246753,124897.963,1,0
NAMERICA,Education,T3,445.0909091,720225.3506,1,0
APJ,Web & Tech,T2,577.7562438,242928.8312,0,0
EMEA,Agriculture,T2,710.6643357,1910139.86,1,0
EMEA,Manufacturing,T3,205.1298701,187864.7652,0,0
CSB,Manufacturing,T5,85.21078921,194223.3966,1,0
EMEA,Agriculture,T3,32.37062937,28042.72727,0,0
CSB,Agriculture,T5,169.9300699,10487228.9,1,0
Greater China,Manufacturing,T5,114.6503497,10038.01598,1,0
EMEA,Manufacturing,T5,182.6173826,12266470.43,0,0
NAMERICA,"Banking, Financial Services & Insurance",T1,65202.7972,39148035.76,0,0
APJ,Retail,T5,17017.78222,68086.07684,1,0
NAMERICA,Education,T2,440.4155844,505646.9592,0,0
EMEA,Energy,T1,32012.83716,12343036.16,1,0
Greater China,Education,T2,3590.40959,244979.021,1,0
NAMERICA,Manufacturing,T1,1341.242757,326962.1379,1,0
LA,Agriculture,T5,1.281718282,250568.1459,1,0
CSB,Agriculture,T5,119.3206793,85503.78921,1,0
NAMERICA,"Business, Engineering & Consumer Services",T4,212.9370629,657780.4496,0,0
Greater China,Transportation,T1,945.0549451,1206785.536,0,0
EMEA,Government,T1,4.091908092,4136042.657,1,0
NAMERICA,Manufacturing,T1,3135.072927,923147.6209,1,0
NAMERICA,Healthcare & Life Sciences,T1,37.45454545,994691.4406,1,0
Greater China,Education,T1,1525.447552,15092.18781,1,0
APJ,Manufacturing,T1,165362.6374,1139963.716,1,0
Greater China,Manufacturing,T1,8531.468531,848834.3457,1,0
NAMERICA,Manufacturing,T5,194.2057942,88194.07869,1,0
NAMERICA,"Business, Engineering & Consumer Services",T1,1503.296703,1604770.729,1,0
EMEA,Healthcare & Life Sciences,T1,141608.3916,1014835.165,0,0
CSB,Healthcare & Life Sciences,T5,2.305694306,374903.4545,1,0
EMEA,Agriculture,T2,4246.543457,644685.5943,1,0
EMEA,Manufacturing,T3,158.3076923,189262.6573,1,0
EMEA,Education,T3,31.21678322,128165.5892,0,0
EMEA,Agriculture,T5,5.238761239,81021.26873,0,0
NAMERICA,"Business, Engineering & Consumer Services",T4,30.68131868,312927.6434,1,0
NAMERICA,Manufacturing,T1,15618.03896,43926406.47,0,0
EMEA,Manufacturing,T1,427.3226773,68711.28871,1,0
CSB,Manufacturing,T5,8.31968032,91494.92907,1,0
NAMERICA,Energy,T1,528.8631369,659728.9495,1,0
APJ,"Business, Engineering & Consumer Services",T1,609.5904096,3587886.809,0,0
EMEA,Healthcare & Life Sciences,T4,115.3846154,78690.00999,1,0
LA,"Banking, Financial Services & Insurance",T1,588.011988,9567932.068,1,0
APJ,Retail,T2,297.7822178,299378.8768,1,0
NAMERICA,Government,T1,16465.93407,445291.5085,1,0
EMEA,Transportation,T5,107.1028971,3261717.063,0,0
NAMERICA,Education,T3,56.93406593,248799.7388,0,0
EMEA,"Banking, Financial Services & Insurance",T4,9.412587413,157474.9751,0,0
NAMERICA,Healthcare & Life Sciences,T5,2516.213786,320065.1497,1,0
LA,Government,T1,321.6783217,149605.8671,1,0
EMEA,Education,T1,1.715284715,1974062.038,0,0
EMEA,Energy,T1,8184.875125,3881718.282,1,0
Greater China,Manufacturing,T2,23076.92308,2890775.673,1,0
EMEA,Education,T2,281.5584416,1076703.297,0,0
EMEA,Manufacturing,T5,14677.52248,3028114.345,1,0
APJ,Web & Tech,T3,37.67232767,145720.5195,0,0
CSB,Agriculture,T5,31.54845155,112514.3976,1,0
LA,Manufacturing,T3,413.5864136,119455.2903,0,0
NAMERICA,Manufacturing,T4,70.07992008,182487.7868,1,0
NAMERICA,Retail,T5,1.113886114,171276.4218,0,0
CSB,Education,T5,48.33566434,92016.68631,1,0
EMEA,Education,T3,356.6433566,131299.5215,1,0
EMEA,"Business, Engineering & Consumer Services",T3,27.14785215,157289.5105,1,0
NAMERICA,"Banking, Financial Services & Insurance",T1,1836.531469,3355016.122,1,0
Greater China,Manufacturing,T5,134.1758242,1479325.297,0,0
EMEA,Energy,T3,2512.819181,298615.2437,1,0
CSB,"Telecom, Media & Entertainment",T5,26.79320679,17345.20779,0,0
CSB,Web & Tech,T5,66.23776224,55334.59041,0,0
APJ,Web & Tech,T5,13.84615385,4430457.566,0,0
APJ,"Banking, Financial Services & Insurance",T1,2555.444555,227052.7473,0,0
NAMERICA,Retail,T3,112.5874126,273903.1209,1,0
EMEA,Agriculture,T3,22.94505495,5262288.062,0,0
APJ,Manufacturing,T1,2833.966034,2070579.221,1,0
NAMERICA,"Business, Engineering & Consumer Services",T4,588.1468531,406849.1516,1,0
LA,Government,T1,504.995005,109566.6923,1,0
NAMERICA,Web & Tech,T1,12917.08292,4589646.501,0,0
NAMERICA,Government,T1,2210.465534,425583.7537,0,0
EMEA,"Banking, Financial Services & Insurance",T1,1581.418581,1136020.48,1,0
EMEA,Transportation,T5,176.8351648,130815.8082,1,0
NAMERICA,Healthcare & Life Sciences,T5,222.981019,95132.62825,0,0
LA,Healthcare & Life Sciences,T3,33.66633367,16150.59916,0,0
CSB,Agriculture,T5,12.03796204,86470.12488,0,0
EMEA,Education,T1,2.153846154,1164364.141,1,0
EMEA,Agriculture,T1,3254.130869,4526973.027,1,0
APJ,Education,T3,14077.86713,371268.7313,1,0
EMEA,Government,T5,9511.408591,59965.90909,0,0
EMEA,"Business, Engineering & Consumer Services",T5,12.86813187,45911.98801,0,0
CSB,Web & Tech,T5,6.06993007,7460806.985,1,0
EMEA,Web & Tech,T5,79.78421578,250562.038,1,0
EMEA,Manufacturing,T2,26307.79221,5385121.678,1,0
NAMERICA,Transportation,T1,11340.65934,5693521.19,0,0
NAMERICA,Web & Tech,T3,194.4055944,553749.0509,0,0
EMEA,"Business, Engineering & Consumer Services",T1,5.218781219,1367488.112,1,0
APJ,"Telecom, Media & Entertainment",T1,634.1658342,626894.3145,1,0
NAMERICA,Government,T1,229951.4486,840351.8314,1,0
APJ,Education,T1,24423.98002,1354645.355,1,0
Greater China,"Banking, Financial Services & Insurance",T1,381.6923077,171197.6224,0,0
EMEA,Education,T1,4748.859141,2785053.447,1,0
LA,Government,T2,630.5454545,335267.6324,0,0
NAMERICA,Education,T1,179.8201798,130359.2088,1,0
NAMERICA,Government,T4,203.7962038,191233.539,1,0
APJ,Education,T2,564.8551449,403041.9033,1,0
CSB,"Business, Engineering & Consumer Services",T5,1.611388611,16209.5025,0,0
APJ,Manufacturing,T3,219.3366633,145935.6557,1,0
APJ,"Business, Engineering & Consumer Services",T5,75.16483516,43731.32268,0,0
CSB,Agriculture,T5,206.5014985,1530715.196,1,0
NAMERICA,Healthcare & Life Sciences,T5,22.29370629,182433.5874,0,0
Greater China,Web & Tech,T1,185.1148851,456440.8591,1,0
EMEA,Retail,T3,766.1538462,189856.486,0,0
NAMERICA,Healthcare & Life Sciences,T5,16.2967033,14584.53982,0,0
EMEA,Energy,T3,81239.94406,14112837.77,1,0
NAMERICA,Healthcare & Life Sciences,T1,86111.88811,117065.2098,0,0
EMEA,Manufacturing,T3,218.7692308,274801.045,1,0
CSB,"Banking, Financial Services & Insurance",T5,2.985014985,6661289.066,1,0
EMEA,Agriculture,T5,12187.64535,92299.3007,1,0
APJ,"Business, Engineering & Consumer Services",T1,126.7132867,523288.2767,1,0
APJ,Web & Tech,T3,225.4545455,227216.949,1,0
LA,Government,T5,822.6573427,25600.164,0,0
NAMERICA,Government,T5,220.5234765,49020.98494,1,0
NAMERICA,"Business, Engineering & Consumer Services",T3,435.8241758,1231892.852,0,0
LA,Transportation,T3,140.4995005,531368.6314,1,0
NAMERICA,Healthcare & Life Sciences,T1,5052.557443,7240119.185,0,0
EMEA,Healthcare & Life Sciences,T1,8963.804196,68817.13487,0,0
APJ,"Business, Engineering & Consumer Services",T5,4.222777223,44942.02198,1,0
CSB,"Business, Engineering & Consumer Services",T5,268.9230769,380501.962,0,0
NAMERICA,Manufacturing,T2,34.37762238,40630.01126,0,0
CSB,"Business, Engineering & Consumer Services",T5,56.57342657,43328.09191,1,0
EMEA,Government,T3,503.012987,103339.1698,0,0
EMEA,Healthcare & Life Sciences,T1,400.5494505,13825017.82,1,0
EMEA,Transportation,T5,665.7832168,32689.34166,1,0
NAMERICA,Government,T5,369.976024,91212.52747,1,0
LA,"Business, Engineering & Consumer Services",T1,7.504495504,54659.2997,0,0
EMEA,Web & Tech,T3,57.23776224,81352.97602,1,0
APJ,Web & Tech,T1,186.4135864,798418.5614,1,0
EMEA,"Business, Engineering & Consumer Services",T1,378.7572428,71461.2657,0,0
CSB,Agriculture,T5,13.58641359,93926.57343,0,0
NAMERICA,Manufacturing,T2,1319.230769,1692294.65,1,0
NAMERICA,Manufacturing,T2,1253.326673,187703.5385,1,0
Greater China,"Business, Engineering & Consumer Services",T3,99.4005994,9017662.545,1,0
EMEA,Retail,T5,141.6583417,58980.93411,1,0
APJ,Government,T1,1.512487512,137502.6192,0,0
APJ,"Business, Engineering & Consumer Services",T1,6.673326673,2135770.03,0,0
Greater China,Manufacturing,T2,192.6073926,91604.00799,0,0
APJ,Construction & Real Estate,T2,167.3146853,275934.0659,1,0
APJ,"Business, Engineering & Consumer Services",T3,148.4675325,197073.679,1,0
Greater China,Manufacturing,T3,189.5104895,69980.96404,1,0
EMEA,"Business, Engineering & Consumer Services",T2,19426.57343,7018381.618,0,0
EMEA,Retail,T1,52.62737263,1903065.51,1,0
EMEA,"Business, Engineering & Consumer Services",T1,6709.041958,322973.6284,0,0
LA,Manufacturing,T3,338.9110889,758153.8462,0,0
NAMERICA,Construction & Real Estate,T4,9.305694306,267773.5354,1,0
EMEA,Manufacturing,T3,191.1688312,204926.6851,0,0
EMEA,Education,T3,314.5034965,198010.5802,1,0
EMEA,Retail,T1,8897.461538,28154.97502,0,0
NAMERICA,"Banking, Financial Services & Insurance",T5,80.62337662,197657.7872,0,0
APJ,Transportation,T2,11876.83516,86696.06234,1,0
CSB,"Business, Engineering & Consumer Services",T5,42.02597403,8328537.767,0,0
APJ,Manufacturing,T1,4678.611389,354192.7233,0,0
EMEA,Web & Tech,T5,1056.417582,4012456.615,1,0
EMEA,Agriculture,T1,4715.72028,229380.1948,1,0
EMEA,Agriculture,T5,1677.694306,193293.5388,1,0
EMEA,"Banking, Financial Services & Insurance",T1,1588.711289,260983.6364,0,0
