RPTG_SLS_MGMT_LVL_1,DELL_INDUSTRY_TAXONOMY_L1,ORG_USER_DEFINED_VALUE_113,emp_size,buy_power,decision_maker,clutser
LA,Manufacturing,T1,80,1419700,1,0
EMEA,Web & Tech,T1,5729,15400000,0,0
EMEA,Education,T5,150,141812,0,0
NAMERICA,"Telecom, Media & Entertainment",T1,260,110956,0,0
CSB,"Business, Engineering & Consumer Services",T5,5,14298,1,0
CSB,Agriculture,T5,12,82564,0,0
EMEA,Education,T1,5690,4350300,0,0
APJ,Agriculture,T3,4072,29007.478,1,0
EMEA,"Business, Engineering & Consumer Services",T1,321,76762,0,0
Greater China,Manufacturing,T2,515,29019,1,0
EMEA,Government,T1,3715,2772361,1,0
LA,Web & Tech,T3,186,123578.025,0,0
APJ,"Business, Engineering & Consumer Services",T5,20,120565,0,0
NAMERICA,Web & Tech,T5,2,193701,1,0
APJ,Manufacturing,T1,1676,175000,0,0
EMEA,"Business, Engineering & Consumer Services",T1,70,7300000,0,0
NAMERICA,Education,T1,3500,1121700,0,0
LA,Government,T3,2437,350000,0,0
CSB,Manufacturing,T5,65,4464961,0,0
EMEA,Agriculture,T5,560,15508.29,0,0
CSB,"Telecom, Media & Entertainment",T5,50,4617166,1,0
NAMERICA,Education,T5,18,11213.538,0,0
APJ,Manufacturing,T3,489,140565.88,0,0
EMEA,Transportation,T1,1000,1272481.989,0,0
CSB,Construction & Real Estate,T5,44,19829,0,0
NAMERICA,Education,T3,83,167711.33,0,0
NAMERICA,Education,T2,5715,1050000,1,0
EMEA,Web & Tech,T1,41,1917251.619,1,0
NAMERICA,"Banking, Financial Services & Insurance",T1,2418,25865900,1,0
NAMERICA,"Banking, Financial Services & Insurance",T1,15000,159937,1,0
APJ,Manufacturing,T1,1,24451.162,0,0
LA,"Business, Engineering & Consumer Services",T2,90,640000,1,0
NAMERICA,Government,T1,544,591110.13,1,0
CSB,"Business, Engineering & Consumer Services",T5,3,149477,0,0
Greater China,"Business, Engineering & Consumer Services",T1,3000,1783500,0,0
NAMERICA,Government,T2,1246,151200,0,0
EMEA,"Business, Engineering & Consumer Services",T1,99,1350000,1,0
NAMERICA,Education,T1,7169,693284,1,0
NAMERICA,Education,T5,26,12800,0,0
EMEA,"Business, Engineering & Consumer Services",T1,4500,2405744,1,0
CSB,Web & Tech,T5,3,5037382,1,0
APJ,Education,T1,381,90165.299,0,0
APJ,"Business, Engineering & Consumer Services",T3,502,116775.08,0,0
NAMERICA,"Banking, Financial Services & Insurance",T3,600,402763.946,0,0
APJ,"Business, Engineering & Consumer Services",T3,120,195803,0,0
APJ,Retail,T5,7,50162,1,0
APJ,"Telecom, Media & Entertainment",T2,3780,507296.713,0,0
CSB,Retail,T3,28,18231,1,0
Greater China,Web & Tech,T3,101,47289,1,0
Greater China,Agriculture,T3,70,56200,0,0
NAMERICA,Web & Tech,T5,25,40490,1,0
Greater China,Web & Tech,T1,200,303723,0,0
CSB,Web & Tech,T5,1,10223,0,0
EMEA,"Banking, Financial Services & Insurance",T1,5512,60085,0,0
LA,Agriculture,T2,200,700000,0,0
NAMERICA,"Business, Engineering & Consumer Services",T3,130,801844.034,0,0
CSB,Agriculture,T5,68,2704387,1,0
APJ,Government,T3,9,500000,1,0
CSB,"Business, Engineering & Consumer Services",T5,7,152018,0,0
EMEA,"Telecom, Media & Entertainment",T3,21,22112.229,1,0
NAMERICA,Government,T4,189,192640.759,0,0
NAMERICA,Retail,T1,200,22845261.68,1,0
EMEA,Retail,T5,4,104765,0,0
CSB,Agriculture,T5,280,61001,1,0
APJ,Government,T1,1000,5671446,1,0
EMEA,Government,T1,3872,91541,1,0
EMEA,Manufacturing,T2,270,384000,1,0
CSB,Retail,T5,25,170781,0,0
CSB,Agriculture,T5,5089,114651,1,0
APJ,"Banking, Financial Services & Insurance",T5,5,1747104,1,0
CSB,Retail,T5,8,114118,0,0
EMEA,Agriculture,T2,5256,5530213.78,0,0
Greater China,Manufacturing,T1,300,25000,1,0
NAMERICA,Web & Tech,T1,301,491048.327,1,0
LA,Retail,T5,380,24848.127,1,0
EMEA,"Business, Engineering & Consumer Services",T2,17,272558.849,1,0
APJ,Web & Tech,T1,1606,2146312,1,0
APJ,Manufacturing,T3,1500,15099.86,0,0
NAMERICA,"Business, Engineering & Consumer Services",T1,4814,3679000,0,0
EMEA,Agriculture,T5,997,133733,0,0
CSB,Agriculture,T5,58,183095,1,0
EMEA,"Banking, Financial Services & Insurance",T1,2,22000000,1,0
Greater China,Manufacturing,T1,1000,222860,0,0
